% Model:              moire_potential_wavefunction.mph
% Version:            COMSOL 5.5.0.306
% Date:               Feb 13 2023, 11:04
% Dimension:          2
% Nodes:              1333
% Expressions:        2
% Description:        Normalized wave function, Potential energy
% Length unit:        nm
% X                       Y                        schr.Psi (1) @ lambda=1  schr.V (J) @ lambda=1
0.8944222261469128        4.95753811370171         1.3049580504968266E8     6.3541491560530385E-22
0.5396707619354659        4.962936298157512        1.3426254072379485E8     3.044553648764348E-22
0.3607224646881337        4.85345715571539         1.3193493959867574E8     4.977380753666209E-22
0.18063588600400282       4.743002777102277        1.2929339707355718E8     7.207743899756026E-22
0                         4.632352941176467        1.2645672307474588E8     9.649949383208395E-22
1.9340935631971938        5.55406636870089         1.292332419579175E8      7.391998257631647E-22
2.11671431796029          5.653447442783452        1.275845083764999E8      8.764867752204153E-22
2.3021694925991127        5.753741096414315        1.2565214490829457E8     1.039815531617934E-21
2.488453105439394         5.854644999685507        1.2354367862997746E8     1.2212974942214253E-21
2.6744902175695895        5.955882352941175        1.213518374422697E8      1.4139964618152087E-21
1.9416999615186217        5.343042750706693        1.243886070562995E8      1.1689823658188759E-21
1.7644383060605209        5.244666528705583        1.2517026157680476E8     1.1052901292901332E-21
1.5899333863190852        5.146711901304842        1.2566036682120533E8     1.0655462747917607E-21
1.4171518071387994        5.04849391450806         1.2584268279401124E8     1.0506878398895898E-21
1.2463029235943535        4.948484706833085        1.2567009905913942E8     1.064731591249675E-21
1.0735027069120022        4.845318417214059        1.2516684218909597E8     1.1056617516621257E-21
0.7196625730672771        4.851834318850305        1.2921262057633923E8     7.410285775291368E-22
0.8993526430078006        4.740554282733708        1.2438117638018163E8     1.1697182603238806E-21
0.5408365358615675        4.742653294694917        1.2755808487353002E8     8.787828162534695E-22
0.36126216365811603       4.632800338251434        1.2564340393980174E8     1.0405807864038008E-21
0.18071635578257242       4.522282845440193        1.2354418022834902E8     1.2212536696381345E-21
0                         4.41176470588235         1.2135183690077414E8     1.4139964618152166E-21
2.122778908162324         5.442202254879359        1.2333378869541545E8     1.255821805735714E-21
2.307266806363931         5.542274995518937        1.2205713626300181E8     1.3623976922483157E-21
2.4934162037659435        5.64303643420806         1.206361085701736E8      1.4831411014706587E-21
2.6795629136671204        5.7442128067053595       1.1914828346886997E8     1.612348418645727E-21
2.865525233110274         5.845588235294118        1.1764750174759555E8     1.7461001756442188E-21
2.129309311394921         5.23087111128467         1.1932736250014244E8     1.6223295779358319E-21
1.949548572342942         5.131772324996462        1.1989486168184467E8     1.5779788476043838E-21
1.7729857349984315        5.0332048194571515       1.2029391076405446E8     1.5470252250982835E-21
1.5981823044813268        4.934690753438187        1.2051512903608488E8     1.5297351466423955E-21
1.4256319145625984        4.835202303830544        1.205196382251779E8      1.529349613705273E-21
1.252664286437684         4.732776072419274        1.2029750093166386E8     1.546767306971623E-21
1.0790079480645547        4.629166868558506        1.1990136196377192E8     1.5774909942603425E-21
0.7210296919970445        4.631886152687302        1.233110823235221E8      1.2578479056677496E-21
0.9011767294532189        4.521026431671217        1.193135643034801E8      1.6236107370718019E-21
0.5418283595268432        4.522410218564722        1.2204425393115734E8     1.3635444689184703E-21
0.3614665757407351        4.412093926396923        1.2063489331674348E8     1.4832496558163256E-21
0.18076978878908864       4.301616352080488        1.1914962262702964E8     1.6122280418744915E-21
0                         4.191176470588234        1.176475013005753E8      1.746100175644224E-21
2.312603793809289         5.330788311383661        1.186211873081062E8      1.6782547604793352E-21
2.4983276053820482        5.431434707152247        1.1782609020188542E8     1.742379388156501E-21
2.6845989150272693        5.532512225082987        1.1699915949895851E8     1.810734170523453E-21
2.870616201878281         5.633850221431746        1.161820224192722E8      1.880561871013262E-21
3.056560248650959         5.735294117647057        1.1540300018587667E8     1.9499966861479145E-21
2.3182567218957595        5.119213943758594        1.1543967836702408E8     1.9777655891013045E-21
2.1361676710540936        5.019380821686627        1.1567447057829587E8     1.9646154224187098E-21
1.957269774512922         4.920160416101429        1.1586721732504745E8     1.953607470458499E-21
1.7806931850583763        4.821226335335468        1.1600199167243528E8     1.945514311456026E-21
1.6057757164509041        4.722623194768715        1.1607470375680436E8     1.9402810556684522E-21
1.4321143479971985        4.620050068468817        1.1600421701156473E8     1.9453523787106843E-21
1.258394317129477         4.51706613896518         1.1587606874728881E8     1.9528781996449265E-21
1.0812239456900243        4.409931285451977        1.1566901028876923E8     1.9651668183834917E-21
0.7224058172205369        4.412005447795531        1.1860899840506224E8     1.6793638868103985E-21
0.9030171724925042        4.301613311348941        1.1543238125375466E8     1.978454787749832E-21
0.5421003351768142        4.30175776711987         1.1782143862027167E8     1.742794191870579E-21
0.3615572241503827        4.191401661849249        1.1700030575234266E8     1.8106289058401935E-21
0.18080511802890087       4.080975308235772        1.1618283459001398E8     1.880487587631074E-21
0                         3.970588235294117        1.1540299987872942E8     1.9499966861479164E-21
2.503282826141782         5.219801145423372        1.1519266354186381E8     1.9912830140237457E-21
2.6895305022625995        5.320833389956836        1.1496949890072112E8     2.003035009365404E-21
2.8756783561974917        5.422110432884736        1.1479712906364308E8     2.0116884579135544E-21
3.0616497444005635        5.523531557486465        1.146885282728778E8      2.016960835246762E-21
3.247595264191644         5.625                    1.1465131781804751E8     2.018742542208E-21
2.5080415696998073        5.007947106632695        1.1280412738895895E8     2.2224411811890534E-21
