"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.619575030E-1,2.139817737E-2,1.934066117E-1,9.750461578E0,9.752403037E0
2.644807780E-1,1.660977490E-2,2.089689225E-1,9.748066902E0,9.750320622E0
2.670038090E-1,-3.740940243E-3,2.112883031E-1,9.751583099E0,9.753872548E0
2.695268800E-1,-1.271919697E-3,2.029834092E-1,9.740809441E0,9.742924224E0
2.720495040E-1,1.189618930E-2,2.149544209E-1,9.734898567E0,9.737278728E0
2.745728600E-1,9.501988068E-3,2.077718228E-1,9.736096382E0,9.738317728E0
2.770957690E-1,1.429039147E-2,2.101660222E-1,9.730110168E0,9.732390141E0
2.795997970E-1,2.267009765E-2,2.233341336E-1,9.727790833E0,9.730380596E0
2.821420740E-1,1.069908869E-2,1.934066117E-1,9.742081642E0,9.744007149E0
2.846651050E-1,-8.604162373E-3,2.136076838E-1,9.771859169E0,9.774197353E0
2.871880540E-1,8.230068721E-3,2.064998895E-1,9.752780914E0,9.754970297E0
2.897109620E-1,1.062426995E-2,2.088941038E-1,9.751658440E0,9.753901370E0
2.922121020E-1,2.244564006E-3,2.112883031E-1,9.751583099E0,9.753872089E0
2.947571460E-1,-6.209960673E-3,2.112134844E-1,9.774253845E0,9.776537625E0
2.972802180E-1,8.304887451E-3,2.077718228E-1,9.738490105E0,9.740709811E0
2.998034100E-1,-1.271919697E-3,2.017863095E-1,9.736021042E0,9.738111986E0
3.023260750E-1,-8.454524912E-3,1.957259923E-1,9.747992516E0,9.749960935E0
3.048491470E-1,-7.182605099E-3,2.113631219E-1,9.728838921E0,9.731137277E0
3.073720150E-1,-7.182605099E-3,2.017114908E-1,9.738415718E0,9.740507164E0
3.098956550E-1,-7.257423829E-3,2.148796022E-1,9.742006302E0,9.744378518E0
3.124186450E-1,1.069908869E-2,1.969979107E-1,9.739686966E0,9.741684908E0
3.149418390E-1,-1.496376062E-4,2.053027898E-1,9.752780914E0,9.754941559E0
3.174644630E-1,-1.496376062E-4,2.124854028E-1,9.752780914E0,9.755095368E0
3.199684090E-1,-2.693476854E-3,2.100163847E-1,9.779042244E0,9.781297529E0
3.224916440E-1,-3.740940243E-3,2.041056901E-1,9.761159897E0,9.763294304E0
3.250337580E-1,2.244564006E-3,2.005143911E-1,9.750386238E0,9.752448044E0
3.275567080E-1,2.012625895E-2,2.112883031E-1,9.761235237E0,9.763542450E0
3.300799820E-1,-1.496376062E-4,2.279728949E-1,9.758766174E0,9.761428630E0
3.326027690E-1,-1.241992135E-2,2.242319584E-1,9.754201889E0,9.756786803E0
3.351257180E-1,-5.237316247E-3,2.194435447E-1,9.754201889E0,9.756671430E0
3.376489930E-1,1.945288852E-3,2.063502520E-1,9.751882553E0,9.754065693E0
3.401720230E-1,1.758241840E-2,2.148047835E-1,9.729212761E0,9.731599621E0
3.426863460E-1,-1.241992135E-2,2.110638469E-1,9.755399704E0,9.757690587E0
3.452178810E-1,7.930792868E-3,2.243067771E-1,9.747094154E0,9.749677989E0
3.477412380E-1,3.067570971E-3,2.170493454E-1,9.763778687E0,9.766191380E0
3.502640640E-1,-7.706336677E-3,2.194435447E-1,9.756596565E0,9.759067137E0
3.527868100E-1,5.536591634E-3,2.255038768E-1,9.744700432E0,9.747310868E0
3.553104920E-1,-1.601122320E-2,2.086696476E-1,9.753005028E0,9.755250199E0
3.578331570E-1,3.142389702E-3,2.124105841E-1,9.739912033E0,9.742228418E0
